Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL1382785,,0,553.53,1,4.42,SID24838008,O=C(O)c1ccccc1NS(=O)(=O)c1ccc(NN=C(S)Nc2ccc(OC(F)F)cc2)c([N+](=O)[O-])c1,IC50,'=',2945.67,nM,5.53,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1491456,,0,305.62,0,4.78,SID17385792,Nc1cccnc1Sc1cc(Cl)c(Cl)cc1Cl,IC50,'>',54000,nM,,,Not Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL3976674,,0,590.68,2,5.1,D-1,O=C(Cc1ccccc1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,Ki,'=',5600,nM,5.25,,,UO_0000065,8.89,0.17,0.15,3.56,FALSE,CHEMBL3859721,Inhibition of 5-FAM-Bid peptide binding to MCL-1 (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3856277,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL402539,,0,580.69,2,7,3,Oc1c(Br)c(Br)cc(Br)c1Oc1ccc(Br)cc1Br,IC50,'>',10,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1063018,Inhibition of Bak binding to Mcl-1 by FRET assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1152335,1,Scientific Literature,J. Nat. Prod.,2009,None,
CHEMBL572122,,0,596.69,2,6.7,6,Oc1c(Br)cc(Br)cc1Oc1cc(Br)c(Br)c(Br)c1O,IC50,'>',10,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1063018,Inhibition of Bak binding to Mcl-1 by FRET assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1152335,1,Scientific Literature,J. Nat. Prod.,2009,None,
CHEMBL541496,,0,728.84,3,7.58,8q,CCc1ccc(CCNC(=O)c2c(O)c(O)cc3c(O)c(-c4c(C)cc5c(C(=O)NCCc6ccc(CC)cc6)c(O)c(O)cc5c4O)c(C)cc23)cc1,IC50,'=',590,nM,6.23,,,UO_0000065,8.55,0.16,-1.35,3.47,FALSE,CHEMBL1031852,Displacement of F-BakBH3 from Mcl-1 by fluorescence polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1158469,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL551288,APOGOSSYPOL,0,462.54,2,6.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2159743,,0,2748.09,None,None,BAD,CSCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)O)C(C)C,Activity,,,,,,Not Active,,,,,,FALSE,CHEMBL2162796,Antagonist activity at recombinant Mcl1 assessed as restoration of BIM BH3-induced Smac protein release in mitochondria isolated from MDA-MB-231 cells at 10 uM after 1 hr by Western blot analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MDA-MB-231,Mitochondria,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2157965,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3307960,
CHEMBL3734919,,0,697.85,2,5.96,27,Cc1ccc(-c2ccc(O[C@H]3C[C@@H](C(=O)N[C@@H](Cc4ccccc4)C(=O)NS(=O)(=O)c4ccc(C)cc4)N(C(=O)OC(C)(C)C)C3)cc2)cc1,Ki,'=',1900,nM,5.72,,,UO_0000065,8.2,0.16,-0.24,4.36,FALSE,CHEMBL3736962,Competitive binding affinity to Mcl-1 (unknown origin) using 5-FAM-Bid-BH3 peptide preincubated for 30 mins before 5-FAM-Bid-BH3 peptide addition and measured 20 mins after 5-FAM-Bid-BH3 peptide addition by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3734725,1,Scientific Literature,Bioorg. Med. Chem.,2015,None,
CHEMBL3736200,,0,499.4,0,3.82,14,CC(C)C[C@H](NC(=O)[C@@H]1C[C@H](Oc2ccc(Br)cc2)CN1C(=O)OC(C)(C)C)C(=O)O,Ki,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3736962,Competitive binding affinity to Mcl-1 (unknown origin) using 5-FAM-Bid-BH3 peptide preincubated for 30 mins before 5-FAM-Bid-BH3 peptide addition and measured 20 mins after 5-FAM-Bid-BH3 peptide addition by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3734725,1,Scientific Literature,Bioorg. Med. Chem.,2015,None,
CHEMBL3735269,,0,485.38,0,3.43,12,CC(C)[C@H](NC(=O)[C@@H]1C[C@H](Oc2ccc(Br)cc2)CN1C(=O)OC(C)(C)C)C(=O)O,Ki,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3736962,Competitive binding affinity to Mcl-1 (unknown origin) using 5-FAM-Bid-BH3 peptide preincubated for 30 mins before 5-FAM-Bid-BH3 peptide addition and measured 20 mins after 5-FAM-Bid-BH3 peptide addition by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3734725,1,Scientific Literature,Bioorg. Med. Chem.,2015,None,
CHEMBL3736148,,0,519.39,1,4.15,10,CC(C)(C)OC(=O)N1C[C@@H](Oc2ccc(Br)cc2)C[C@H]1C(=O)N[C@H](C(=O)O)c1ccccc1,Ki,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3736962,Competitive binding affinity to Mcl-1 (unknown origin) using 5-FAM-Bid-BH3 peptide preincubated for 30 mins before 5-FAM-Bid-BH3 peptide addition and measured 20 mins after 5-FAM-Bid-BH3 peptide addition by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3734725,1,Scientific Literature,Bioorg. Med. Chem.,2015,None,
CHEMBL4446955,,0,636.23,1,4.94,17,CO[C@H]1/C=C/CCN(C)C(=O)C[C@](O)(C(=O)N(C)C)c2ccc3c(c2)N(C[C@@H]2CC[C@H]21)C[C@@]1(CCCc2cc(Cl)ccc21)CO3,IC50,'=',10,nM,8,,,UO_0000065,12.57,0.24,3.06,9.69,FALSE,CHEMBL4356586,Inhibition of recombinant C-terminal His6x-tagged human Mcl-1 (171 to 327 residues) interaction with biotinylated human Bim (51 to 76 residues) incubated for 60 mins in presence of 0.05 nM biotin-Bim by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4354823,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4578154,,0,245.29,0,3.78,1,c1ccc(-c2nccc3c2[nH]c2ccccc23)nc1,Ki,'>',10000,nM,,,,,,,,,FALSE,CHEMBL4729290,Displacement of Flu-BID/FAM-BID from His-tagged Mcl-1 (171 to 327 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells incubated for 3 hrs by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4725364,1,Scientific Literature,J Med Chem,2020,None,TIME = 3.0 hr
CHEMBL4743955,,0,273.34,0,4.27,6,CCn1c2ccccc2c2ccnc(-c3ccccn3)c21,IC50,'>',10000,nM,,,,,,,,,FALSE,CHEMBL4729291,Inhibition of biotinylated Bim peptide (81 to 106 residues) binding to His-tagged Mcl-1 (171 to 327 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells preincubated for 1 hr followed by biotinylated Bim peptide addition measured after 2 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4725364,1,Scientific Literature,J Med Chem,2020,None,TIME = 3.0 hr
CHEMBL4557431,,0,3379.8,None,None,BH3 bim,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](CO)NC(=O)CNC(=O)CN)[C@@H](C)CC)[C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(N)=O)C(C)C,IC50,'=',2.3,nM,8.64,,,UO_0000065,2.56,None,None,None,FALSE,CHEMBL4378474,Inhibition of Mcl1 (unknown origin) by surface plasmon resonance analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4376822,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL3126334,,0,184.22,0,1.81,3R6,CSc1ccc(O)c(C(=O)O)c1,IC50,'=',160000,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL4378471,Inhibition of Mcl1 (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4376822,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL605114,,0,506.61,1,4.66,6,COc1cccc(-c2ccc(/C=C3\SC(=S)N([C@@H](Cc4ccccc4)C(=O)O)C3=O)cn2)c1OC,Kd,'=',250,nM,6.6,,,UO_0000065,13.03,0.26,1.94,7.42,FALSE,CHEMBL1064403,Binding affinity to human Mcl1 by isothermal titration calorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157603,1,Scientific Literature,J. Med. Chem.,2010,None,
CHEMBL2005973,,0,481.92,0,3.93,SID26671145,O=C(O)c1cccc(Cn2c(Cl)c(/C=N/NC(=O)c3cc4ccccc4cc3O)sc2=O)c1,IC50,'=',3737.53,nM,5.43,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1428770,,0,400.41,0,3.19,SID17504199,COc1cc(/C=C2\SC(=N)N(c3ccc4c(c3)OCO4)C2=O)cc(OC)c1O,IC50,'=',10406.6,nM,4.98,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1309432,,0,471.86,1,6.57,SID22406345,O=C(N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12)c1cc(-c2ccccc2Cl)nc2ccccc12,IC50,'=',1181.92,nM,5.93,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1457311,,0,243.7,0,3.47,SID7965152,Nc1ccc2[nH]c(-c3ccc(Cl)cc3)nc2c1,IC50,'=',8163.3,nM,5.09,,Not Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1468192,,0,478.51,1,6.08,SID17504441,Cc1ccc(NC(=O)Cn2c(O)c(N=NC(=O)c3cc4ccccc4cc3O)c3ccccc32)cc1,IC50,'=',2569.72,nM,5.59,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL560919,,0,282.3,0,3.1,SID24786554,Cc1c(Cc2ccccc2)c(=O)oc2c(O)c(O)ccc12,IC50,'=',11734.26,nM,4.93,,Not Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1406534,,0,359.86,0,4,SID24823498,COc1ccc(N2CCC(CNC(=O)Nc3ccc(Cl)cc3)C2)cc1,IC50,'>',54000,nM,,,Not Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1310972,,0,351.41,0,1.45,SID17504507,NS(=O)(=O)c1ccc(NC(=S)NC(=O)/C=C/c2ccco2)cc1,IC50,'=',6464.45,nM,5.19,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1505859,,0,473.6,0,3.08,SID851401,CC(C(=O)NC1CCCC1)N(Cc1ccco1)C(=O)c1snc(C(=O)NC2CCCC2)c1N,IC50,'=',8766.97,nM,5.06,,Not Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1471406,,0,270.38,0,2.16,SID24782329,CNC(S)=Nc1sc2c(c1C(=O)OC)CCC2,IC50,'=',1478.46,nM,5.83,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL290106,BITHIONOL,4,356.06,1,5.86,SID855531,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,IC50,'=',1898.89,nM,5.72,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1402473,,0,315.35,0,3.37,SID24839129,Cc1nc(COC(=O)c2cc(O)c3ccccc3c2O)cs1,IC50,'=',4836.95,nM,5.32,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1323000,,0,340.21,0,3.04,SID22403487,C=CCn1c(C)cc(C(=O)Cn2ncc(Cl)c(Cl)c2=O)c1C,IC50,'=',5135.7,nM,5.29,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1571640,,0,450.63,0,4.39,SID14733458,CCc1ccc(NC(=O)N(CCN2CCOCC2)Cc2ccc3c(c2)CCCN3CC)cc1,IC50,'>',54000,nM,,,Not Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL3193276,,0,348.34,0,1.75,SID24786578,COc1ccccc1NC(=O)C(=O)N/N=C/c1ccc([N+](=O)[O-])s1,IC50,'=',2563.25,nM,5.59,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1424694,,0,407.81,0,3.93,SID24823674,O=C(O)c1cccc(-n2cccc2/C=C2/NC(=O)N(c3ccc(Cl)cc3)C2=O)c1,IC50,'=',2686.7,nM,5.57,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1424878,,0,258.3,0,3.34,SID26663015,CC(=O)c1sc2nc(-c3ccco3)ccc2c1N,IC50,'=',2052,nM,5.69,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL4757050,,0,349.44,1,5.61,4,Cc1ccc(Cn2c3ccccc3c3ccnc(-c4ccccn4)c32)cc1,Ki,'=',4932.8,nM,5.31,,,,15.19,0.27,-0.3,17.28,FALSE,CHEMBL4729290,Displacement of Flu-BID/FAM-BID from His-tagged Mcl-1 (171 to 327 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells incubated for 3 hrs by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4725364,1,Scientific Literature,J Med Chem,2020,None,TIME = 3.0 hr
CHEMBL3699066,,0,843.05,3,7.12,5,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2csc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)n2)cc1[N+](=O)[O-],Ki,'>',1560,nM,,,,,,,,,FALSE,CHEMBL4715589,Inhibition of F-Bak binding to GST-tagged MCL1 (unknown origin) measured after 1 hr by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4706772,1,Scientific Literature,ACS Med Chem Lett,2021,None,TIME = 1.0 hr
CHEMBL443684,NAVITOCLAX,3,974.63,3,8.83,ABT-263,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Ki,'>',224,nM,,,,,,,,,FALSE,CHEMBL4715589,Inhibition of F-Bak binding to GST-tagged MCL1 (unknown origin) measured after 1 hr by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4706772,1,Scientific Literature,ACS Med Chem Lett,2021,None,TIME = 1.0 hr
